"Index","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","pct_new"
"0001-02-20",2,2,0,0,100
"0001-03-20",12,42,0,0,28.5714285714286
"0001-04-20",4273,33954,403,2453,12.584673381634
"0001-05-20",5446,172596,634,26683,3.15534543094857
"0001-06-20",1125,255519,60,37445,0.44028037053996
"0001-07-20",730,284275,53,40394,0.256793597748659
"0001-08-20",880,303185,20,41189,0.290251826442601
"0001-09-20",1406,335877,2,41501,0.418605620509889
"0001-10-20",7108,453268,71,42143,1.56816717703434
"0001-11-20",21915,1011664,326,46555,2.16623305761597
"0002-02-20",0,2,0,0,0
"0002-03-20",5,47,0,0,10.6382978723404
"0002-04-20",4514,38468,672,3125,11.7344286159925
"0002-05-20",4966,177562,698,27381,2.7967695790766
"0002-06-20",1079,256598,86,37531,0.420502108356262
"0002-07-20",617,284892,97,40491,0.216573297951504
"0002-08-20",771,303956,13,41202,0.253655134295753
"0002-09-20",1295,337172,3,41504,0.384076969617881
"0002-10-20",6914,460182,59,42202,1.50244903103555
"0002-11-20",23254,1034918,162,46717,2.24694130356221
"0003-01-20",0,0,0,0,NA
"0003-02-20",0,2,0,0,0
"0003-03-20",22,69,0,0,31.8840579710145
"0003-04-20",4913,43381,657,3782,11.3252345496877
"0003-05-20",4737,182299,584,27965,2.59847832407199
"0003-06-20",1441,258039,249,37780,0.558442716023547
"0003-07-20",651,285543,41,40532,0.227986678013469
"0003-08-20",743,304699,5,41207,0.243847206587485
"0003-09-20",1508,338680,10,41514,0.445258060706271
"0003-10-20",6968,467150,66,42268,1.49159798779835
"0004-01-20",0,0,0,0,NA
"0004-02-20",0,2,0,0,0
"0004-03-20",40,109,0,0,36.697247706422
"0004-04-20",4868,48249,736,4518,10.0893282762337
"0004-05-20",3229,185528,253,28218,1.74043810098745
"0004-06-20",1484,259523,254,38034,0.571818297414873
"0004-07-20",602,286145,49,40581,0.210382847856856
"0004-08-20",928,305627,1,41208,0.303638094801834
"0004-09-20",1735,340415,13,41527,0.509672017978056
"0004-10-20",12871,480021,49,42317,2.6813410246635
"0005-01-20",0,0,0,0,NA
"0005-02-20",1,3,0,0,33.3333333333333
"0005-03-20",55,164,0,0,33.5365853658537
"0005-04-20",4911,53160,756,5274,9.23814898419865
"0005-05-20",2982,188510,272,28490,1.58187894541404
"0005-06-20",1356,260879,130,38164,0.519781201246555
"0005-07-20",579,286724,32,40613,0.201936356914664
"0005-08-20",670,306297,18,41226,0.218741940012472
"0005-09-20",1940,342355,10,41537,0.566663258897928
"0005-10-20",22961,502982,33,42350,4.56497449212894
"0006-01-20",0,0,0,0,NA
"0006-02-20",0,3,0,0,0
"0006-03-20",56,220,0,0,25.4545454545455
"0006-04-20",4020,57180,599,5873,7.03043022035677
"0006-05-20",3389,191899,726,29216,1.76603317370075
"0006-06-20",1243,262122,258,38422,0.474206667124469
"0006-07-20",401,287125,19,40632,0.139660426643448
"0006-08-20",891,307188,14,41240,0.290050392593461
"0006-09-20",1813,344168,12,41549,0.52677762023198
"0006-10-20",12593,515575,19,42369,2.44251563788004
"0007-01-20",0,0,0,0,NA
"0007-02-20",1,4,0,0,25
"0007-03-20",51,271,1,1,18.8191881918819
"0007-04-20",3592,60772,567,6440,5.91061673138946
"0007-05-20",3682,195581,647,29863,1.88259595768505
"0007-06-20",1120,263242,143,38565,0.425464021698665
"0007-07-20",555,287680,11,40643,0.192922691879867
"0007-08-20",950,308138,18,41258,0.30830342249252
"0007-09-20",2988,347156,2,41551,0.86070815425918
"0007-10-20",14542,530117,76,42445,2.7431680176263
"0008-01-20",0,0,0,0,NA
"0008-02-20",0,4,0,0,0
"0008-03-20",81,352,1,2,23.0113636363636
"0008-04-20",5282,66054,1105,7545,7.99648772216671
"0008-05-20",3827,199408,458,30321,1.91918077509428
"0008-06-20",801,264043,54,38619,0.303359680052113
"0008-07-20",704,288384,54,40697,0.244118952507767
"0008-08-20",871,309009,12,41270,0.281868812882473
"0008-09-20",2948,350104,3,41554,0.842035509448621
"0008-10-20",14162,544279,70,42515,2.60197435506422
"0009-01-20",0,0,0,0,NA
"0009-02-20",0,4,0,0,0
"0009-03-20",60,412,0,2,14.5631067961165
"0009-04-20",5450,71504,1030,8575,7.6219512195122
"0009-05-20",3767,203175,579,30900,1.85406669127599
"0009-06-20",721,264764,47,38666,0.272317988850448
"0009-07-20",597,288981,57,40754,0.206587976372149
"0009-08-20",758,309767,3,41273,0.244700048746316
"0009-09-20",2460,352564,32,41586,0.697745657526009
"0009-10-20",17540,561819,77,42592,3.12200192588716
"0010-01-20",0,0,0,0,NA
"0010-02-20",4,8,0,0,50
"0010-03-20",57,469,1,3,12.1535181236674
"0010-04-20",5131,76635,1116,9691,6.69537417629021
"0010-05-20",3063,206238,275,31175,1.48517731940767
"0010-06-20",1099,265863,195,38861,0.41337079623716
"0010-07-20",693,289674,31,40785,0.239234449760766
"0010-08-20",1062,310829,5,41278,0.341666961576944
"0010-09-20",2659,355223,8,41594,0.748543872440692
"0010-10-20",13864,575683,87,42679,2.40826982905523
"0011-01-20",0,0,0,0,NA
"0011-02-20",1,9,0,0,11.1111111111111
"0011-03-20",148,617,4,7,23.9870340356564
"0011-04-20",4858,81493,1122,10813,5.96124820536733
"0011-05-20",2157,208395,217,31392,1.03505362412726
"0011-06-20",1158,267021,164,39025,0.433673755996719
"0011-07-20",715,290389,34,40819,0.246221447782113
"0011-08-20",816,311645,18,41296,0.261836384347575
"0011-09-20",2919,358142,14,41608,0.81503984453094
"0011-10-20",15165,590848,81,42760,2.56664996750433
"0012-01-20",0,0,0,0,NA
"0012-02-20",0,9,0,0,0
"0012-03-20",259,876,0,7,29.5662100456621
"0012-04-20",4313,85806,843,11656,5.02645502645503
"0012-05-20",2329,210724,187,31579,1.10523718228583
"0012-06-20",1199,268220,76,39101,0.447021102080382
"0012-07-20",565,290954,17,40836,0.194188772108306
"0012-08-20",1148,312793,13,41309,0.367015885905375
"0012-09-20",3539,361681,6,41614,0.978486566891819
"0012-10-20",12872,603720,65,42825,2.13211422513748
